Name: ?????????? Unnamed Road, ???? ??????? ?????????? ????????????? 10330 ????????? ?? Unnamed Road, ???? ??????? ?????????? ????????????? 10330 ?????????
Type: LineString
100.53333,13.7373,0










100.53308,13.73734,0










100.53303,13.73735,0













100.5341,13.73803,0










100.53397,13.73719,0










100.53384,13.73721,0










100.53337,13.73729,0
Name: Unnamed Road, ???? ??????? ?????????? ????????????? 10330 ?????????
Type: Point
100.5333326,13.7372985,0
Name: Unnamed Road, ???? ??????? ?????????? ????????????? 10330 ?????????
Type: Point
100.5333658,13.7372924,0
